UN,Country,Destination,Origin
688,Serbia and Kosovo,577918,133076
276,Germany,476525,29
348,Hungary,351459,1077
752,Sweden,173468,0
643,Russian Federation,152389,28148
840,United States,135866,439
792,Turkey,134744,9312
250,France,114355,50
40,Austria,89775,0
380,Italy,83175,126
710,South Africa,76110,753
826,United Kingdom,53089,63
56,Belgium,49059,16
528,Netherlands,44959,22
756,Switzerland,39460,0
578,Norway,36404,0
800,Uganda,35911,4098
246,Finland,29330,0
818,Egypt,23062,8039
458,Malaysia,22599,3680
208,Denmark,22540,0
100,Bulgaria,20311,98
400,Jordan,19583,1559
124,Canada,19349,23
422,Lebanon,18171,5979
300,Greece,17063,69
404,Kenya,15960,1542
36,Australia,15917,0
724,Spain,14822,57
76,Brazil,14681,1086
616,Poland,12165,282
392,Japan,10667,17
586,Pakistan,8853,91032
736,South Sudan,7887,2303
356,India,7183,15341
262,Djibouti,6545,546
120,Cameroon,5987,8120
410,"Korea, Rep.",5662,206
760,Syria,5088,782052
360,Indonesia,4658,1698
508,Mozambique,4318,989
372,Ireland,4159,39
108,Burundi,3962,19397
454,Malawi,3875,2724
484,Mexico,3378,19552
178,Congo,3138,4467
894,Zambia,2950,269
442,Luxembourg,2914,0
12,Algeria,2772,11461
887,Yemen,2691,15465
188,Costa Rica,2690,104
148,Chad,2611,1477
764,Thailand,2566,773
196,Cyprus,2561,0
804,Ukraine,2279,177634
470,Malta,1916,0
807,"Macedonia, FYR",1858,16594
591,Panama,1805,16
834,Tanzania,1706,942
504,Morocco,1605,10030
499,Montenegro,1561,4405
862,Venezuela,1486,10341
268,Georgia,1474,10473
203,Czech Rep.,1424,88
642,Romania,1266,523
706,Somalia,1261,43593
112,Belarus,1239,1391
32,Argentina,1200,87
288,Ghana,1125,10031
716,Zimbabwe,997,18945
231,Ethiopia,934,32539
478,Mauritania,925,2710
144,Sri Lanka,700,12909
84,Belize,633,35
152,Chile,612,79
762,Tajikistan,600,1457
784,United Arab Emirates,575,57
8,Albania,560,73911
31,Azerbaijan,545,3690
566,Nigeria,490,49382
156,China,488,29957
526,Namibia,467,54
72,Botswana,461,42
398,Kazakhstan,412,1285
554,New Zealand,408,9
170,Colombia,405,6274
604,Peru,401,831
466,Mali,379,10747
686,Senegal,325,14587
428,Latvia,314,92
352,Iceland,312,0
368,Iraq,308,300462
51,Armenia,307,6823
498,Rep. of Moldova,272,2362
440,Lithuania,271,70
703,Slovakia,267,424
646,Rwanda,238,3998
768,Togo,236,2026
705,Slovenia,235,5
191,Croatia,230,92
204,Benin,226,919
417,Kyrgyzstan,216,1226
414,Kuwait,207,654
233,Estonia,169,10
524,Nepal,163,5763
320,Guatemala,148,16707
788,Tunisia,142,3156
558,Nicaragua,130,789
4,Afghanistan,129,486610
192,Cuba,123,2521
748,Swaziland,121,57
608,Philippines,120,1358
438,Liechtenstein,117,0
864,C™te d'Ivoire,111,9245
780,Trinidad and Tobago,108,107
434,Libya,98,7234
24,Angola,83,2782
136,Cayman Islands,72,0
266,Gabon,69,194
512,Oman,67,5
48,Bahrain,64,71
854,Burkina Faso,62,2048
344,"China, Hong Kong SAR",57,81
583,"Micronesia, Fed. Sts.",55,7
600,Paraguay,55,40
858,Uruguay,54,13
324,Guinea,41,10174
634,Qatar,29,0
562,Niger,26,722
68,Bolivia,23,153
70,Bosnia and Herzegovina,21,9729
598,Papua New Guinea,21,174
140,Central African Republic,19,10624
214,Dominican Rep.,17,1658
340,Honduras,16,16473
28,Antigua and Barbuda,15,14
222,El Salvador,14,22917
520,Nauru,7,0
116,Cambodia,6,248
624,Guinea-Bissau,5,1751
450,Madagascar,5,149
